k,Omega_over_k
3.783283204946725164e+04,3.486365227678073478e-19
3.819154372010949737e+04,3.352924149249539312e-19
3.855365651236185658e+04,3.224590545296398168e-19
3.891920267392943788e+04,3.101168926574775432e-19
3.928821475827394170e+04,2.982471286216906428e-19
3.966072562751219084e+04,2.868316813342020866e-19
4.003676845534289168e+04,2.758531617629186713e-19
4.079958425724005792e+04,2.551406520031282041e-19
4.118642516334213724e+04,2.359833466782198350e-19
4.157693389815754199e+04,2.359833466782198350e-19
4.197114523817265581e+04,2.182644728397500707e-19
4.236909428960690275e+04,2.099103720108563145e-19
4.277081649153850594e+04,2.018760254679043043e-19
4.317634761906152562e+04,1.941491945743881564e-19
4.358572378647117876e+04,1.867181091291916887e-19
4.399898145047988510e+04,1.726983290659425423e-19
4.441615741346407594e+04,1.660882782627716670e-19
4.483728882674175838e+04,1.597312280060252385e-19
4.526241319388085685e+04,1.536174946671835918e-19
4.569156837403886311e+04,1.477377652598515750e-19
4.612479258533454413e+04,1.366448349295324405e-19
4.656212440825170779e+04,1.366448349295324405e-19
5.068950296608012286e+04,1.314147362611752693e-19
